Pali_Word,N_Han_Variants,Translation_Entropy,Primary_Han,Primary_Score,All_Han_Variants,All_Scores,Interpretation
yathabhutam,5,2.321,善趣,52.395,善趣|然彼不|所說|所服|聖眾,52.4|52.4|52.4|52.4|48.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
upaneti,5,2.321,疾病,64.016,疾病|相應業|財物|端正|威德,64.0|64.0|64.0|61.6|59.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
yadariyo,5,2.321,所習,70.136,所習|聖人|可教|意止|已眾,70.1|70.1|67.5|67.5|63.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pativiratam,5,2.321,邪見,38.015,邪見|取邪|殺|壞命|終生,38.0|38.0|38.0|36.0|36.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
manosamacaro,5,2.321,可,46.62,可|不受|法而行|可行|不行,46.6|45.8|44.2|44.2|43.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kamma,5,2.32,業,34.502,業|身壞|命終|取邪|已身,34.5|31.6|31.2|30.4|30.4,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
mannati,5,2.32,神所神,24.625,神所神|彼世|神|世彼|生主,24.6|24.5|23.3|21.9|21.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
dhareti,5,2.32,或持,47.04,或持|食|皮|事|舍衣,47.0|45.3|41.5|41.5|41.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
aramagatanam,5,2.32,佛前,38.765,佛前|法為諸|坐問|說賢者|莫令餘,38.8|38.8|38.8|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
dhamme,5,2.32,習習,44.135,習習|喜愛可法滅|行斷|行而斷|如真習,44.1|44.1|39.7|39.7|39.7,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
parikkhayam,5,2.32,豪貴族,37.973,豪貴族|賤|真人|出家|學道,38.0|37.5|37.1|34.4|33.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
pathavito,5,2.32,神所神,24.666,神所神|彼世|神|生主|世彼,24.7|24.5|23.3|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
gacchanti,5,2.32,豪貴族,34.581,豪貴族|賤|真人|出家|學道,34.6|34.2|33.7|31.2|30.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
bhattagge,5,2.319,坐問,39.377,坐問|佛前|法為諸|欲令|莫令餘,39.4|39.4|39.4|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nibbana,5,2.319,神所神,25.704,神所神|彼世|神|涅槃|生主,25.7|25.6|24.3|22.8|22.1,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
pathavim,5,2.319,神所神,25.273,神所神|彼世|神|彼計淨|淨無量,25.3|25.1|23.9|22.1|22.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
upakkilesa,5,2.317,若知,71.419,若知|心穢|心清淨|患|喜悅,71.4|66.8|62.3|59.6|56.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
seyyathapi,5,2.317,優陀夷,20.279,優陀夷|知苦滅|沙門謂|梵志謂|聖云何,20.3|19.9|16.9|16.9|16.9,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
cittassa,5,2.317,若知,68.414,若知|心穢|心清淨|患|高心生,68.4|63.9|59.6|57.0|54.0,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
purakkhatva,5,2.317,佛前,40.659,佛前|坐問|法為諸|因餘|欲令,40.7|40.7|40.7|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
patipucchitva,5,2.317,法為諸,40.946,法為諸|佛前|坐問|說賢者|因餘,40.9|40.9|40.9|34.5|34.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
vadami,5,2.315,移動此,44.243,移動此|聖說|移動|何等|奉事,44.2|44.2|44.2|39.3|34.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
magandiya,5,2.311,提,44.967,提|異|知苦滅|閑|八,45.0|45.0|37.8|34.8|33.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sammaditthi,5,2.305,工師,23.488,工師|奉事|正見|法得|居士,23.5|22.7|20.6|17.7|15.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
paticca,5,2.305,緣意法,48.594,緣意法|生識|意識|實空|因欲漏,48.6|48.6|36.1|35.6|35.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
nissaya,5,2.304,生已,23.786,生已|已辦|所作|知如真|已立,23.8|16.7|16.5|16.5|16.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
cakkavattissa,5,2.302,人法,35.434,人法|唯然|白|智慧|具足,35.4|27.0|24.9|24.8|22.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
patubhavati,5,2.302,人法,35.434,人法|唯然|白|智慧|具足,35.4|27.0|24.9|24.8|22.3,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
cakkavatti,5,2.302,人法,34.864,人法|唯然|白|智慧|具足,34.9|26.5|24.5|24.3|21.8,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
annena,5,2.3,覺患,29.225,覺患|法苦法|滅法|觀覺|無常,29.2|24.7|24.7|18.8|18.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ayampi,5,2.299,法欲法,29.509,法欲法|漏盡者|愛法樂法|不得|諸尊語,29.5|29.5|29.5|23.5|18.4,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
kinci,5,2.285,五言,32.764,五言|或非|說者|跏趺|反念,32.8|32.8|30.8|23.8|17.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
upekkha,5,2.239,捨,17.346,捨|生已|已辦|已立|所作,17.3|13.6|8.2|8.0|8.0,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
veramani,5,2.236,知食,69.644,知食|知食習|知食滅|如真謂|麤,69.6|65.4|65.4|35.6|27.6,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
evameva,5,2.235,優陀夷,20.506,優陀夷|耶|觀覺|知覺|少少,20.5|10.8|9.7|9.1|9.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
sariputto,5,2.197,答,23.147,答|舍|梨子|尊者|世尊,23.1|22.4|22.4|13.1|6.2,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
tanha,5,2.19,愛,24.001,愛|覺有|觀內覺|覺念處|欲苦,24.0|9.5|9.5|9.5|9.5,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
anando,5,2.152,阿難,13.55,阿難|尊者|說|世尊|比丘,13.6|12.5|7.0|4.8|3.7,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
magga,5,1.981,道,16.355,道|所|如|是|有,16.4|7.4|7.1|2.8|2.1,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
ayasmantanca,3,1.579,毘,19.988,毘|佛|尊者,20.0|17.9|16.1,Biến thể dịch thông thường
sariputta,4,1.471,舍利弗,34.073,舍利弗|舍|梨子|尊者,34.1|8.6|8.6|2.5,Nhiều biến thể dịch — từ không có equiv Hán trực tiếp
samadhi,4,1.408,定,31.804,定|謂|是|有,31.8|6.9|4.2|4.1,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
metta,3,1.16,慈,34.959,慈|沙門|是,35.0|14.7|3.3,Biến thể dịch thông thường
saddha,2,0.744,信,20.642,信|瞋,20.6|5.5,Biến thể dịch thông thường
avijja,2,0.632,無明,28.505,無明|復,28.5|5.4,Biến thể dịch thông thường
sankhara,2,0.614,行,18.614,行|是,18.6|3.3,Thuật ngữ giáo lý cốt lõi — có thể phản ánh tranh luận giáo phái
