MN_No,MA_No,Mapping_Quality,Pali_Name,Expected_Han,Found_Han,Status,Pali_Text,Han_Text
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,tena kho pana samayena nigaṇṭho nāṭaputto nāḷandāyaṃ paṭivasati mahatiyā nigaṇṭhaparisāya saddhiṃ,爾時 長苦行尼揵中後彷佯 往詣佛所 共相問訊 却坐一面 於是 世尊問曰 苦行尼揵
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,tena kho pana samayena nigaṇṭho nāṭaputto nāḷandāyaṃ paṭivasati mahatiyā nigaṇṭhaparisāya saddhiṃ,爾時 長苦行尼揵中後彷佯 往詣佛所 共相問訊 却坐一面 於是 世尊問曰 苦行尼揵
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,atha kho dīghatapassī nigaṇṭho nāḷandāyaṃ piṇḍāya caritvā pacchābhattaṃ piṇḍapātapaṭikkanto yena,親子施設幾行 令不行惡業 不作惡業
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,na kho āvuso gotama āciṇṇaṃ nigaṇṭhassa nāṭaputtassa kammaṃ kamma nti paññapetuṃ daṇḍaṃ daṇḍa nti,於行 令不行惡業 不作惡業 但為我等施設於罰 令不行惡業 不作惡業
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,kho āvuso gotama āciṇṇaṃ nigaṇṭhassa nāṭaputtassa paññapetu nti,世尊又復問曰 苦行尼揵親子施設幾罰 令不行惡業 不作惡業
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,itiha bhagavā dīghatapassiṃ nigaṇṭhaṃ imasmiṃ kathāvatthusmiṃ yāvatatiyakaṃ patiṭṭhāpesi,世尊又復問曰 苦行 汝說身罰為最重耶
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,tena kho pana samayena nigaṇṭho nāṭaputto mahatiyā gihiparisāya saddhiṃ nisinno hoti bālakiniyā parisāya upālipamukhāya,座起 繞世尊三匝而退還去 往詣尼揵親子所
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,atha kho dīghatapassī nigaṇṭho yāvatako ahosi bhagavatā saddhiṃ kathāsallāpo taṃ sabbaṃ nigaṇṭhassa nāṭaputtassa ārocesi,尼揵親子告曰 苦行 若共沙門瞿曇有所論者 盡為我說 我或能知彼之所論
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,evaṃ vutte nigaṇṭho nāṭaputto dīghatapassiṃ nigaṇṭhaṃ etadavoca sādhu sādhu tapassi,於是 長苦行尼揵共世尊有所論者盡向彼說 尼揵親子聞便歎曰 善哉 苦行 謂汝於師行弟子法 所作智辯聰明決定 安隱無畏成就調御 逮大辯才 得甘露幢 於甘露界自作證成就遊 所以者何 謂汝向沙門瞿曇施設身罰為最重 令不行惡業 不作惡業 口罰不然 意
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,evaṃ vutte upāli gahapati nigaṇṭhaṃ nāṭaputtaṃ etadavoca sādhu sādhu bhante dīghatapassī,髦裘 抖擻去塵 我亦如是 能至再三審定沙門瞿曇如此事已 隨所牽挽 猶如
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,evaṃ vutte upāli gahapati nigaṇṭhaṃ nāṭaputtaṃ etadavoca sādhu sādhu bhante dīghatapassī,髦裘 抖擻去塵 我亦如是 能至再三審定沙門瞿曇如此事已 隨所牽挽 猶如
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,evaṃ vutte dīghatapassī nigaṇṭho nigaṇṭhaṃ nāṭaputtaṃ etadavoca na kho metaṃ bhante ruccati yaṃ upāli gahapati samaṇassa,世尊問曰 居士 於意云何 若有尼揵來 好喜於布施 樂行於布施 無戲 樂不戲 為極清淨 極行呪也 若彼行來時 多殺大小蟲 云何 居士 尼揵親子於此殺生施設報耶
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,evaṃ vutte dīghatapassī nigaṇṭho nigaṇṭhaṃ nāṭaputtaṃ etadavoca na kho metaṃ bhante ruccati yaṃ upāli gahapati samaṇassa,世尊問曰 居士 於意云何 若有尼揵來 好喜於布施 樂行於布施 無戲 樂不戲 為極清淨 極行呪也 若彼行來時 多殺大小蟲 云何 居士 尼揵親子於此殺生施設報耶
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,aṭṭhānaṃ kho etaṃ tapassi anavakāso yaṃ upāli gahapati samaṇassa gotamassa sāvakattaṃ upagaccheyya,彼無湯時 便欲飲冷水 不得冷水 彼便命終 居士 尼揵親子云何
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,ṭhānañca kho etaṃ vijjati yaṃ samaṇo gotamo upālissa gahapatissa sāvakattaṃ upagaccheyya,可說彼尼揵所生耶
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,dutiyampi kho dīghatapassī pe tatiyampi kho dīghatapassī nigaṇṭho nigaṇṭhaṃ nāṭaputtaṃ etadavoca na kho metaṃ bhante ruc,削割 作一肉聚 作一肉積 居士 於意云何 彼人寧能於此那難陀內一切眾生 於一日中斫剉斬截 剝裂削割 作一肉聚 作一肉積耶
56,133,TRUE_PAIR,upali,優波離|優婆離,優婆離,VARIANT,yaṃ upāli gahapati samaṇassa gotamassa vādaṃ āropeyya samaṇo hi bhante gotamo māyāvī āvaṭṭaniṃ māyaṃ jānāti yāya aññatit,優婆離居士答曰 不也 所以者何 此那難陀內極大富樂 多有人民 是故彼人於此那難陀
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,aṭṭhānaṃ kho etaṃ tapassi anavakāso yaṃ upāli gahapati samaṇassa gotamassa sāvakattaṃ upagaccheyya,內一切眾生 必不能得於一日中斫剉斬截 剝裂削割 作一肉聚 作一肉積 瞿曇 彼人唐大煩勞
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,ṭhānañca kho etaṃ vijjati yaṃ samaṇo gotamo upālissa gahapatissa sāvakattaṃ upagaccheyya,居士 於意云何 若有沙門 梵志來 有大如意足 有大威德 有大福祐 有大威神 心得自在 彼作是說 我以發一瞋念 令此一切那難陀
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,ekamantaṃ nisinno kho upāli gahapati bhagavantaṃ etadavoca āgamā nu khvidha bhante dīghatapassī nigaṇṭho ti,世尊問曰 居士 汝頗曾聞大澤無事 靜寂無事 空野無事 無事即無事耶
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,atha kho bhagavā yāvatako ahosi dīghatapassinā nigaṇṭhena saddhiṃ kathāsallāpo taṃ sabbaṃ upālissa gahapatissa ārocesi,寂靜無事 空野無事 無事即無事 世尊 我已知 善逝 我已解 我今自歸於佛 法及比丘眾 唯願世尊受我為優婆塞 從今日始 終身自歸 乃至命盡
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,evaṃ vutte upāli gahapati bhagavantaṃ etadavoca sādhu sādhu bhante tapassī,世尊告曰 居士 汝默然行 勿得宣言 如是勝人默然為善
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,taṃ kiṃ maññasi gahapati ayaṃ nāḷandā iddhā ceva phītā ca bahujanā ākiṇṇamanussā ti,於是 尼揵親子與大尼揵眾五百人俱 往詣優婆離居士家 守門人遙見尼揵親子與大尼揵眾五百人俱來 而作是說 尊者 優婆離居士今受佛化 化作弟子 則不聽諸尼揵入門 唯聽世尊四眾弟子 比丘 比丘尼 優婆塞 優婆私入 若欲得食者 便可住此 當出食與
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,evaṃ bhante ayaṃ nāḷandā iddhā ceva phītā ca bahujanā ākiṇṇamanussā ti,尼揵親子語曰 守門人 我不用食 但欲得見優婆離居士
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,so evaṃ vadeyya ahaṃ yāvatikā imissā nāḷandāya pāṇā te ekena khaṇena ekena muhuttena ekaṃ maṃsakhalaṃ ekaṃ maṃsapuñjaṃ k,彼守門人即入白曰 居士 當知尼揵親子與大尼揵眾五百人俱住在門外 作如是語 我欲得見優婆離居士
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,taṃ kiṃ maññasi gahapati pahoti nu kho so puriso yāvatikā imissā nāḷandāya pāṇā te ekena khaṇena ekena muhuttena ekaṃ ma,優婆離居士告守門人 汝至中門 敷設床座 訖還白我
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,yāvatikā imissā nāḷandāya pāṇā te ekena khaṇena ekena muhuttena ekaṃ maṃsakhalaṃ ekaṃ maṃsapuñjaṃ kātuṃ,優婆離居士將守門人往至中門 若有床座 極高廣大 極淨好敷 謂優婆離居士本
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,kiñhi sobhati eko chavo puriso ti taṃ kiṃ maññasi gahapati idha āgaccheyya samaṇo vā brāhmaṇo vā iddhimā cetovasippatto,抱尼揵親子所令坐者 優婆離居士自處其上 結加趺坐 告守門人 汝出往至尼揵親子所 作如是語 尊人 優婆離居士言 尊人欲入者 自可隨意
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,so evaṃ vadeyya ahaṃ imaṃ nāḷandaṃ ekena manopadosena bhasmaṃ karissāmī ti,彼守門人受教即出 至尼揵親子所 作如是語 尊人 優婆離居士言 尊人欲入者 自可隨意 於是 尼揵親子與大尼揵眾五百人俱入至中門
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,taṃ kiṃ maññasi gahapati pahoti nu kho so samaṇo vā brāhmaṇo vā iddhimā cetovasippatto imaṃ nāḷandaṃ ekena manopadosena ,優婆離居士遙見尼揵親子與大尼揵眾五百人俱入 而作是語 尊人 有座 欲坐隨意
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,taṃ kiṃ maññasi gahapati pahoti nu kho so samaṇo vā brāhmaṇo vā iddhimā cetovasippatto imaṃ nāḷandaṃ ekena manopadosena ,優婆離居士遙見尼揵親子與大尼揵眾五百人俱入 而作是語 尊人 有座 欲坐隨意
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,dasapi bhante nāḷandā vīsampi nāḷandā tiṃsampi nāḷandā cattārīsampi nāḷandā paññāsampi nāḷandā pahoti,尼揵親子語曰 居士 汝應爾耶 自上高座 結加趺坐 與人共語 如出家者學道無異
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,so samaṇo vā brāhmaṇo vā iddhimā cetovasippatto ekena manopadosena bhasmaṃ kātuṃ kiñhi sobhati ekā chavā nāḷandā ti,優婆離居士語曰 尊人 我自有物 欲與便與 不與便不與 此座我有 是故我言 有座 欲坐隨意
56,133,TRUE_PAIR,nalanda,那爛陀,,MISSING,so samaṇo vā brāhmaṇo vā iddhimā cetovasippatto ekena manopadosena bhasmaṃ kātuṃ kiñhi sobhati ekā chavā nāḷandā ti,優婆離居士語曰 尊人 我自有物 欲與便與 不與便不與 此座我有 是故我言 有座 欲坐隨意
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,atha kho nigaṇṭho nāṭaputto mahatiyā nigaṇṭhaparisāya saddhiṃ yena majjhimā dvārasālā tenupasaṅkami,尼揵親子語曰 居士 舉那難陀知優婆離居士是尼揵弟子 今者竟為誰弟子耶
56,133,TRUE_PAIR,upali,優波離|優婆離,優婆離,VARIANT,atha kho upāli gahapati yaṃ sudaṃ pubbe yato passati nigaṇṭhaṃ nāṭaputtaṃ dūratova āgacchantaṃ,於是 優婆離居士即從座起 右膝著地 若方有佛 叉手向彼 語曰 尊人 聽我所說
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,atha kho upāli gahapati yaṃ sudaṃ pubbe yato passati nigaṇṭhaṃ nāṭaputtaṃ dūratova āgacchantaṃ,於是 優婆離居士即從座起 右膝著地 若方有佛 叉手向彼 語曰 尊人 聽我所說
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,tattha sāmaṃ nisīditvā nigaṇṭhaṃ nāṭaputtaṃ etadavoca saṃvijjanti kho bhante āsanāni sace ākaṅkhasi nisīdā ti,安隱無有垢 佛弟子婆離
56,133,TRUE_PAIR,upali,優波離|優婆離,,MISSING,evaṃ vutte nigaṇṭho nāṭaputto upāliṃ gahapatiṃ etadavoca ummattosi tvaṃ gahapati dattosi tvaṃ gahapati,大聖修習已 得德說自在 善念妙正觀 不高亦不下
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,sabbe cepi bhante brāhmaṇā pe vessā pe suddā imāya āvaṭṭaniyā āvaṭṭeyyuṃ sabbesānampissa suddānaṃ,無畏常專精 佛弟子婆離
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,sassamaṇabrāhmaṇiyā pajāya sadevamanussāya dīgharattaṃ hitāya sukhāyāti,勇猛極清淨 佛弟子婆離
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,bhūtapubbaṃ bhante aññatarassa brāhmaṇassa jiṇṇassa vuḍḍhassa mahallakassa daharā māṇavikā pajāpatī ahosi gabbhinī upavi,御者無有恚 佛弟子婆離
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,atha kho bhante sā māṇavikā taṃ brāhmaṇaṃ etadavoca gaccha tvaṃ brāhmaṇa āpaṇā makkaṭacchāpakaṃ kiṇitvā ānehi yo me kumā,斷望無上善 善調無比御 上常歡喜 無疑有光明
56,133,TRUE_PAIR,mara,魔|波旬,,MISSING,atha kho bhante sā māṇavikā taṃ brāhmaṇaṃ etadavoca gaccha tvaṃ brāhmaṇa āpaṇā makkaṭacchāpakaṃ kiṇitvā ānehi yo me kumā,斷望無上善 善調無比御 上常歡喜 無疑有光明
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,evaṃ vutte so brāhmaṇo taṃ māṇavikaṃ etadavoca āgamehi tāva bhoti yāva vijāyati,斷慢無上覺 佛弟子婆離
56,133,TRUE_PAIR,mara,魔|波旬,,MISSING,kumārakassa kīḷāpanako bhavissatī ti,與等 名稱已逮正 佛弟子婆離
56,133,TRUE_PAIR,brahma,梵天|梵,,MISSING,evaṃ vutte bhante sā māṇavikā taṃ brāhmaṇaṃ etadavoca gaccha tvaṃ brāhmaṇa imaṃ makkaṭacchāpakaṃ,此是百歎佛 本未曾思惟 優婆離所說 諸天來至彼
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,paṇāmetvā nigaṇṭhaṃ nāṭaputtaṃ etadavoca tena hi bhante suṇohi yassāhaṃ sāvako ti,尼揵親子問曰 居士 汝以何意稱歎沙門瞿曇耶
56,133,TRUE_PAIR,sakka,帝釋|天帝釋,,MISSING,atha kho nigaṇṭhassa nāṭaputtassa bhagavato sakkāraṃ asahamānassa tattheva uṇhaṃ lohitaṃ mukhato uggacchīti,優婆離經第十七
56,133,TRUE_PAIR,nigantha,尼乾|尼乾陀,,MISSING,atha kho nigaṇṭhassa nāṭaputtassa bhagavato sakkāraṃ asahamānassa tattheva uṇhaṃ lohitaṃ mukhato uggacchīti,優婆離經第十七
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,atha kho bhagavā parittaṃ udakāvasesaṃ udakādhāne ṭhapetvā āyasmantaṃ rāhulaṃ āmantesi passasi no tvaṃ rāhula imaṃ parit,佛告羅云 我說彼道少 亦復如是 謂知已妄言 不羞不悔 無慚無愧 羅云 彼亦無惡不作 是故 羅云 當作是學 不得戲笑妄言
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,evaṃ parittakaṃ kho rāhula tesaṃ sāmaññaṃ yesaṃ natthi sampajānamusāvāde lajjā ti,世尊復取此少水器 盡瀉棄已 問曰 羅云 汝復見我取少水器 盡瀉棄耶
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,atha kho bhagavā parittaṃ udakāvasesaṃ chaḍḍetvā āyasmantaṃ rāhulaṃ āmantesi passasi no tvaṃ rāhula parittaṃ udakāvasesa,世尊復取此空水器 覆著地已 問曰 羅云 汝復見我取空水器 覆著地耶
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,evaṃ chaḍḍitaṃ kho rāhula tesaṃ sāmaññaṃ yesaṃ natthi sampajānamusāvāde lajjā ti,世尊復取此覆水器 發令仰已 問曰 羅云 汝復見我取覆水器 發令仰耶
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,atha kho bhagavā taṃ udakādhānaṃ nikkujjitvā āyasmantaṃ rāhulaṃ āmantesi passasi no tvaṃ rāhula imaṃ udakādhānaṃ nikkujj,佛告羅云 我說彼道仰 亦復如是 謂知已妄言 不羞不悔
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,evaṃ nikkujjitaṃ kho rāhula tesaṃ sāmaññaṃ yesaṃ natthi sampajānamusāvāde lajjā ti,不慚不愧 羅云 彼亦無惡不作 是故 羅云 當作是學 不得戲笑妄言
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,atha kho bhagavā taṃ udakādhānaṃ ukkujjitvā āyasmantaṃ rāhulaṃ āmantesi passasi no tvaṃ rāhula imaṃ udakādhānaṃ rittaṃ t,羅云 猶如王有大象入陣鬪時 用前脚 後脚 尾 項 額 耳 牙 一切皆用 唯護於鼻 象師見已 便作是念 此王大象猶故惜命 所以者何 此王大象入陣鬪時 用前脚 後脚 尾 髂 脊 脇 項 額 耳 牙 一切皆用 唯護於鼻 羅云 若王大象入陣鬪時 用
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,,MISSING,evaṃ rittaṃ tucchaṃ kho rāhula tesaṃ sāmaññaṃ yesaṃ natthi sampajānamusāvāde lajjāti,於是 世尊即說頌曰 人犯一法 謂妄言是 不畏後世 無惡不作
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,,MISSING,seyyathāpi rāhula rañño nāgo īsādanto urūḷhavā abhijāto saṅgāmāvacaro saṅgāmagato purimehipi pādehi kammaṃ karoti,寧噉鐵丸 其熱如火 不以犯戒 受世信施
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,apariccattaṃ kho rañño nāgassa jīvita nti yato kho rāhula rañño nāgo īsādanto urūḷhavā abhijāto saṅgāmāvacaro saṅgāmagat,如是 羅云 若汝將作身業 即觀彼身業 我將作身業 彼身業為淨 為不淨 為自為 為他 羅云 若觀時則知 我將作身業 彼身業
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,natthi dāni kiñci rañño nāgassa akaraṇīya nti evameva kho rāhula yassa kassaci sampajānamusāvāde natthi lajjā nāhaṃ tass,不淨 或自為 或為他 不善與苦果受於苦報 羅云 汝當詣善知識 梵行人所 彼已作身業 至心發露 應悔過說 慎莫覆藏 更善
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,tasmātiha te rāhula hassāpi na musā bhaṇissāmī ti evañhi te rāhula sikkhitabbaṃ taṃ kiṃ maññasi rāhula kimatthiyo ādāso ,淨 或自為 或為他 善與樂果受於樂報 羅云 汝當晝夜歡喜 住正念正智 口業亦復如是
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,paccavekkhaṇattho bhante ti evameva kho rāhula paccavekkhitvā paccavekkhitvā kāyena kammaṃ kattabbaṃ paccavekkhitvā pacc,不淨 或自為 或為他 不善與苦果受於苦報 羅云 汝當捨彼過去意業 羅云 若觀時則知 因過去行故 已生意業已過去 滅盡 變易 彼意業
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,yadeva tvaṃ rāhula kāyena kammaṃ kattukāmo ahosi tadeva te kāyakammaṃ paccavekkhitabbaṃ yaṃ nu,不淨 或自為 或為他 不善與苦果受於苦報 羅云 汝當捨彼未來意業 羅云 若觀時則知 因未來行故 當生意業 彼意業
61,14,TRUE_PAIR,brahma,梵天|梵,,MISSING,yepi hi keci rāhula anāgatamaddhānaṃ samaṇā vā brāhmaṇā vā kāyakammaṃ parisodhessanti,善不善法 汝應常觀
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,,MISSING,yepi hi keci rāhula anāgatamaddhānaṃ samaṇā vā brāhmaṇā vā kāyakammaṃ parisodhessanti,善不善法 汝應常觀
61,14,TRUE_PAIR,rahula,羅云|羅睺羅,羅云,VARIANT,vacīkammaṃ parisodhessāmi paccavekkhitvā paccavekkhitvā manokammaṃ parisodhessāmī ti evañhi te rāhula sikkhitabba nti,方方豐樂 安隱無怖 羅云至彼 莫為害他
63,221,TRUE_PAIR,mara,魔|波旬,,MISSING,mayā abyākataṃ hoti tathāgato paraṃ maraṇā ti mayā abyākataṃ na hoti tathāgato paraṃ maraṇā ti,於是 世尊面訶鬘童子已 告諸比丘 若有愚癡人作如是念 若世尊不為我一向說世有常者 我不從世尊學梵行 彼愚癡人竟不得知 於其中間而命終也 如是 世無有常 世有底 世無底 命即是身 為命異身異 如來終 如來不終 如來終不終 如來亦非終亦非不終耶
63,221,TRUE_PAIR,mara,魔|波旬,,MISSING,mayā abyākataṃ hoti ca na ca hoti tathāgato paraṃ maraṇā ti mayā abyākataṃ neva hoti na na hoti,猶如有人身被毒箭 因毒箭故 受極重苦 彼比方耶 未可拔箭 我應先知彼弓為柘 為桑 為槻 為角耶 未可拔箭 我應先知弓
63,221,TRUE_PAIR,mara,魔|波旬,,MISSING,tathāgato paraṃ maraṇā ti mayā abyākataṃ kasmā cetaṃ mālukyaputta mayā abyākataṃ,扎 飄𪁢毛 為鵰鷲毛 為鵾鷄毛 為鶴毛耶 未可拔箭 我應先知箭𨮹
63,221,TRUE_PAIR,brahma,梵天|梵,梵,VARIANT,na hetaṃ mālukyaputta atthasaṃhitaṃ na ādibrahmacariyakaṃ na nibbidāya na virāgāya na nirodhāya na upasamāya na abhiññāy,若有愚癡人作如是念 若世尊不為我一向說世有常者 我不從世尊學梵行 彼愚癡人竟不得知 於其中間而命終也 如是 世無有常 世有底 世無底 命即是身 為命異身異 如來終 如來不終 如來終不終 如來亦非終亦非不終耶 若有愚癡人作如是念 若世尊不為我
63,221,SOFT,brahma,梵天|梵,梵,VARIANT,etañhi mālukyaputta atthasaṃhitaṃ etaṃ ādibrahmacariyakaṃ nibbidāya virāgāya nirodhāya upasamāya abhiññāya sambodhāya ni,世有常 我不一向說此 以何等故 我不一向說此 此非義相應 非法相應 非梵行本 不趣智 不趣覺 不趣涅槃 是故我不一向說此 如是 世無常 世有底 世無底 命即是身 為命異身異 如來終 如來不終 如來終不終 如來亦非終亦非不終 我不一向說此 以
64,205,TRUE_PAIR,sakka,帝釋|天帝釋,,MISSING,sakkāyadiṭṭhiṃ kho ahaṃ bhante bhagavatā orambhāgiyaṃ saṃyojanaṃ desitaṃ dhāremi vicikicchaṃ kho,五下分結 我受持之
64,205,TRUE_PAIR,mara,魔|波旬,,MISSING,teneva dhammarāgena tāya dhammanandiyā pañcannaṃ orambhāgiyānaṃ saṃyojanānaṃ parikkhayā opapātiko hoti,力人
64,205,TRUE_PAIR,ananda,阿難|阿難陀,阿難,VARIANT,puna caparaṃ ānanda bhikkhu vitakkavicārānaṃ vūpasamā pe dutiyaṃ jhānaṃ upasampajja viharati tatiyaṃ jhānaṃ catutthaṃ jh,椑栰 乘之而度 彼便岸邊收聚草木 縛作椑栰 乘之而度 安隱至彼 如是 阿難 若有比丘攀緣厭離 依於厭離 住於厭離 止息身惡故 心入離 定故 離欲 離惡不善之法 有覺 有觀 離生喜 樂 得初禪成就遊 彼依此處 觀覺興衰 彼依此處 觀覺興衰已 
64,205,TRUE_PAIR,ananda,阿難|阿難陀,,MISSING,puna caparaṃ ānanda bhikkhu sabbaso rūpasaññānaṃ samatikkamā paṭighasaññānaṃ atthaṅgamā,云何昇進得止息處 彼覺 觀已息 內靖 一心 無覺 無觀 定生喜 樂 得第二禪成就遊 彼依此處 觀覺興衰 彼依此處 觀覺興衰已 住彼必得漏盡 設住彼不得漏盡者 必當昇進得止息處 云何昇進得止息處 彼離於喜欲 捨無求遊
64,205,TRUE_PAIR,ananda,阿難|阿難陀,,MISSING,puna caparaṃ ānanda bhikkhu sabbaso ākāsānañcāyatanaṃ samatikkamma anantaṃ viññāṇa nti viññāṇañcāyatanaṃ upasampajja vih,云何昇進得止息處 彼度一切色想 滅有礙想 不念若干想 無量空 是無
64,205,TRUE_PAIR,ananda,阿難|阿難陀,,MISSING,puna caparaṃ ānanda bhikkhu sabbaso viññāṇañcāyatanaṃ samatikkamma natthi kiñcī ti ākiñcaññāyatanaṃ upasampajja viharati,猶去村不遠 有大芭蕉 若人持斧破芭蕉樹 此世已 便不恐怖 因不恐怖已 便般涅槃 生已盡 梵行已立 所作已辦 不更受有 知如真
64,205,TRUE_PAIR,ananda,阿難|阿難陀,阿難,VARIANT,ettha kho panesāhaṃ ānanda indriyavemattataṃ vadāmī ti,佛說如是 尊者阿難及諸比丘 聞佛所說 歡喜奉行
65,194,TRUE_PAIR,savatthi,舍衛|舍衛國,舍衛|舍衛國,MATCH,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho bhikkhu sāvatthiyaṃ vassaṃ upagatā tepi maṃ jānissanti,法 跋陀和利 汝於爾時不知如此耶 跋陀和利 汝於爾時不知眾多優婆塞 優婆夷居舍衛國 彼知我 見我 有比丘名跋陀和利 世尊弟子 不學具戒及世尊境界諸微妙法 跋陀和利 汝於爾時不知如此耶 跋陀和利 汝於爾時不知眾
65,194,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho bhikkhuniyo sāvatthiyaṃ vassaṃ upagatā tāpi maṃ jānissanti,尊者跋陀和利答曰 不也
65,194,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho upāsakā sāvatthiyaṃ paṭivasanti,身證者 設非身證有見到者 設非見到有信解脫 設非信解脫有
65,194,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho upāsikā sāvatthiyaṃ paṭivasanti,世尊告曰 跋陀和利 汝於爾時非如空屋耶
65,194,TRUE_PAIR,brahma,梵天|梵,,MISSING,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho nānātitthiyā samaṇabrāhmaṇā sāvatthiyaṃ,伺
65,194,TRUE_PAIR,savatthi,舍衛|舍衛國,,MISSING,samayopi kho te bhaddāli appaṭividdho ahosi sambahulā kho nānātitthiyā samaṇabrāhmaṇā sāvatthiyaṃ,伺
65,194,SOFT,brahma,梵天|梵,,MISSING,so satthārāpi upavadito anuviccapi viññūhi sabrahmacārīhi upavadito devatāhipi upavadito attanāpi,覺憶宿命智通作證 彼有行有相貌 憶本無量昔所經歷 謂一生 二生 百生 千生 成劫 敗劫 無量成敗劫 彼眾生名某 彼昔更歷 我曾生彼 如是姓 如是字 如是生 如是飲食 如是受苦樂 如是長壽 如是久住 如是壽訖 此死生彼 彼死生此 我生在此 如
68,77,TRUE_PAIR,mara,魔|波旬,,MISSING,api ca khomhi otiṇṇo jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi,皆相愛戀 悲泣啼哭 不欲令汝出家學道 汝等故能剃除鬚髮 著袈裟衣 至信 捨家 無家 學道 阿那律陀 汝等不畏王而行學道 亦不畏賊 不畏負債 不畏恐怖 不畏貧窮不得活故而行學道 但厭生 老 病 死 啼哭 憂苦 或復欲得大苦聚邊 阿那律陀 汝等
